# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	997
#@/user_id	47f654cc-0104-4fdb-9a56-97378a68a2be
a 	啊	c=7 d=3.18802 t=996
hai shi 	還是	c=3 d=2.35698 t=450
hai yao 	還要	c=2 d=1.97531 t=830
hai you 	還有	c=3 d=1.43568 t=576
hai zi 	孩子	c=1 d=1 t=861
han yi 	寒意	c=1 d=1 t=937
hao 	好	c=15 d=2.73087 t=995
hao 	號	c=1 d=1 t=963
hao a 	好啊	c=1 d=1 t=955
hao ba 	好吧	c=1 d=1 t=891
hao ban le 	好搬了	c=1 d=1 t=156
hao de 	好的	c=1 d=1 t=610
hao hao hao 	好好好	c=1 d=1 t=329
hao xiang 	好像	c=3 d=1.40173 t=863
he 	和	c=9 d=2.76042 t=839
he he 	呵呵	c=1 d=1 t=833
he ni 	和你	c=2 d=0.59353 t=808
hei hei 	嘿嘿	c=3 d=2.56795 t=653
hen 	很	c=3 d=1.19371 t=917
hen duo 	很多	c=1 d=1 t=151
hong 	紅	c=1 d=1 t=918
hou 	後	c=1 d=1 t=463
hua 	話	c=1 d=1 t=764
huan xiang 	幻想	c=1 d=1 t=471
hui 	會	c=4 d=1.95675 t=464
hui guo 	回國	c=1 d=1 t=525
hui lai 	回來	c=1 d=1 t=750
hui suo 	會所	c=1 d=1 t=540
ji lei 	積累	c=1 d=1 t=504
ji pai 	雞排	c=1 d=1 t=511
ji piao 	機票	c=2 d=1.66034 t=512
jian 	見	c=2 d=1.6942 t=617
jian 	鍵	c=1 d=1 t=28
jian cha 	檢查	c=1 d=1 t=237
jian mian 	見面	c=1 d=1 t=462
jiang 	講	c=1 d=1 t=390
jiang di 	降低	c=2 d=1.83946 t=421
jiao 	叫	c=1 d=1 t=177
jiao cha 	交叉	c=1 d=1 t=938
jie 	姐	c=1 d=1 t=846
jie chu 	接觸	c=2 d=1.91393 t=274
jie gui 	接軌	c=1 d=1 t=841
jie jue 	解決	c=1 d=1 t=125
jin tian 	今天	c=6 d=5.78592 t=990
jin tian tian qi 	今天天氣	c=1 d=1 t=987
jin tian tian qi zhen hao 	今天天氣真好	c=1 d=1 t=981
jing an si 	靜安寺	c=0 d=0.1 t=20
jing ran 	竟然	c=2 d=1.53794 t=829
jing xiang 	鏡像	c=1 d=1 t=919
jing yan 	經驗	c=1 d=1 t=507
jiu 	就	c=2 d=1.26714 t=417
jiu neng 	就能	c=2 d=1.97531 t=440
jiu shi 	就是	c=3 d=2.12601 t=695
juan gei 	捐給	c=1 d=1 t=574
jue de 	覺得	c=7 d=3.07347 t=774
kai 	開	c=1 d=1 t=888
kai shi 	開始	c=1 d=1 t=372
kan 	看	c=4 d=2.45357 t=725
kan de 	看得	c=1 d=1 t=793
kan kan 	看看	c=1 d=1 t=900
kan la 	看啦	c=1 d=1 t=782
kan lai 	看來	c=2 d=1.66034 t=834
kan ni 	看你	c=1 d=1 t=442
kao lv 	考慮	c=2 d=1.40252 t=244
ke neng 	可能	c=4 d=3.0539 t=281
ke yi 	可以	c=4 d=3.18846 t=616
ken ding 	肯定	c=1 d=1 t=518
kou hong 	口紅	c=0 d=0.1 t=911
kou hong le 	口紅了	c=1 d=1 t=912
ku le 	苦了	c=0 d=0.1 t=364
kuai jie 	快捷	c=1 d=1 t=27
lai 	來	c=3 d=1.28091 t=783
lai bu ji 	來不及	c=1 d=1 t=776
lai de ji 	來得及	c=1 d=1 t=762
le 	了	c=23 d=7.47879 t=911
leng nuan 	冷暖	c=1 d=1 t=939
li 	理	c=2 d=1.39063 t=796
li 	裏	c=1 d=1 t=797
li hai 	厲害	c=0 d=0.1 t=29
li hai a 	厲害啊	c=1 d=1 t=30
li qi 	力氣	c=1 d=1 t=344
liao 	聊	c=2 d=1.94176 t=681
liao tian 	聊天	c=1 d=1 t=422
liu 	溜	c=1 d=1 t=877
liu xia 	流霞	c=1 d=1 t=929
long ya ren 	聾啞人	c=1 d=1 t=575
lu huo 	爐火	c=1 d=1 t=934
lu man 	璐曼	c=2 d=0.373649 t=891
luan 	亂	c=1 d=1 t=118
luo ma 	羅馬	c=2 d=1.99501 t=514
ma 	嗎	c=3 d=1.15665 t=827
mei 	沒	c=1 d=1 t=61
mei guan xi 	沒關係	c=1 d=1 t=618
mei tian 	每天	c=1 d=1 t=469
mei you 	沒有	c=2 d=1.25924 t=375
meng xiang 	夢想	c=1 d=1 t=568
ming bai 	明白	c=1 d=1 t=183
ming chao 	明朝	c=2 d=1.99501 t=975
ming shuo 	明說	c=0 d=0.1 t=289
ming shuo le 	明說了	c=1 d=1 t=290
ming tian 	明天	c=1 d=1 t=823
na 	那	c=3 d=1.97619 t=896
na ge 	那個	c=2 d=1.01964 t=794
na guo lai 	拿過來	c=1 d=1 t=11
na li 	哪裏	c=1 d=1 t=781
na me 	那麼	c=1 d=1 t=353
nan guo 	難過	c=2 d=1.9802 t=400
nan nv 	男女	c=1 d=1 t=363
nan shou 	難受	c=2 d=1.42528 t=313
ne 	呢	c=4 d=2.27819 t=741
nei 	內	c=1 d=1 t=517
neng gou 	能夠	c=1 d=1 t=124
ni 	你	c=59 d=13.4334 t=954
ni ai 	你愛	c=0 d=0.1 t=23
ni ai si de ha shi cai neng 	你愛似的哈市才能	c=1 d=1 t=24
ni ha ha ha ha ha ha 	你哈哈哈哈哈哈	c=1 d=1 t=943
ni hao 	你好	c=5 d=2.00168 t=948
ni hao a 	你好啊	c=1 d=1 t=944
ni hao sa si nian dai shi ni ca si fu sa 	你好薩斯年代是你擦私服撒	c=1 d=1 t=14
ni hao shi jian ou ma 	你好時間毆罵	c=1 d=1 t=23
ni ni 	妮妮	c=0 d=0.1 t=21
ni ni ni 	你妮妮	c=1 d=1 t=22
nian dai 	年代	c=0 d=0.1 t=13
nin men 	您們	c=1 d=1 t=16
nong hao 	弄好	c=0 d=0.1 t=522
nong hao le 	弄好了	c=1 d=1 t=523
nuan yi 	暖意	c=1 d=1 t=935
nv peng you 	女朋友	c=3 d=2.08304 t=327
o 	哦	c=1 d=1 t=742
o o o 	哦哦哦	c=1 d=1 t=709
ou ma 	毆罵	c=0 d=0.1 t=22
pa 	怕	c=1 d=1 t=136
pao 	泡	c=1 d=1 t=231
pei se 	配色	c=1 d=1 t=4
pei zhi 	配置	c=2 d=1.0087 t=969
pen 	盆	c=1 d=1 t=869
peng you 	朋友	c=2 d=1.75957 t=364
piao liang 	漂亮	c=1 d=1 t=40
pin lv 	頻率	c=2 d=1.8311 t=424
pu tong 	普通	c=1 d=1 t=308
qi guai 	奇怪	c=1 d=1 t=219
qi shi 	其實	c=4 d=1.19542 t=765
qi yue fen 	七月份	c=1 d=1 t=543
qian 	錢	c=2 d=1.11418 t=873
qiang 	強	c=0 d=0.1 t=871
qiang lie 	強烈	c=1 d=1 t=626
qiang shi ying 	強適應	c=1 d=1 t=872
qing 	情	c=1 d=1 t=964
qu 	去	c=18 d=5.42379 t=927
quan bu 	全部	c=1 d=1 t=343
ran er 	然而	c=1 d=1 t=773
rang 	讓	c=1 d=1 t=848
rang wo 	讓我	c=1 d=1 t=870
ren 	人	c=3 d=1.59789 t=806
ren sheng 	人生	c=1 d=1 t=567
ren zhen 	認眞	c=2 d=1.86936 t=83
rime 	Rime	c=1 d=1 t=35
rong wei yi ti 	融爲一體	c=1 d=1 t=699
ru guo 	如果	c=6 d=2.52065 t=760
ru he 	如何	c=3 d=1.31895 t=968
sa 	撒	c=0 d=0.1 t=13
sa si 	薩斯	c=0 d=0.1 t=13
se diao 	色調	c=1 d=1 t=940
shan 	刪	c=1 d=1 t=96
shan le 	刪了	c=1 d=1 t=97
she xiang tou 	攝像頭	c=2 d=1.03159 t=920
shen 	深	c=1 d=1 t=120
shen ai 	深愛	c=1 d=1 t=319
shen bian 	身邊	c=1 d=1 t=338
shen me 	什麼	c=4 d=1.30229 t=908
shen mei 	審美	c=2 d=1.70469 t=907
shen ru 	深入	c=2 d=1.91393 t=273
sheng dan 	聖誕	c=1 d=1 t=749
shi 	事	c=1 d=1 t=874
shi 	是	c=11 d=3.58462 t=838
shi hou 	時候	c=2 d=1.24908 t=693
shi jian 	時間	c=1 d=1.08869 t=46
shi nai de 	施耐德	c=0 d=0.1 t=14
shi nai de na 	施耐德那	c=1 d=1 t=15
shi ni 	是你	c=1 d=1.04649 t=13
shi pin 	視頻	c=1 d=1 t=889
shi qing 	事情	c=1 d=1 t=152
shi qu 	失去	c=1 d=1 t=901
shi ran 	釋然	c=1 d=1 t=286
shi shi 	試試	c=1 d=1 t=613
shi xi 	實習	c=1 d=1 t=432
shi ying 	適應	c=0 d=0.1 t=871
shi you 	室友	c=1 d=1 t=305
shu 	書	c=0 d=0.1 t=75
shu ru fa 	輸入法	c=1 d=1 t=947
shu shen me 	書什麼	c=1 d=1 t=76
shui 	睡	c=1 d=1 t=884
shui ba 	睡吧	c=1 d=1 t=928
shui bu 	誰不	c=0 d=0.1 t=882
shui bu shui le 	誰不睡了	c=1 d=1 t=883
shui jiao 	睡覺	c=5 d=1.80799 t=820
shui jiao 	誰叫	c=1 d=1 t=49
shui jiao ba 	睡覺吧	c=1 d=1 t=370
shui le 	睡了	c=0 d=0.1 t=882
shui zhi dao 	誰知道	c=1 d=1 t=673
shun bian 	順便	c=1 d=1 t=857
shuo 	說	c=10 d=4.33036 t=906
shuo ge 	說個	c=1 d=1 t=644
shuo le 	說了	c=1 d=1 t=898
shuo ma 	說嘛	c=1 d=1 t=721
shuo wan 	說完	c=0 d=0.1 t=653
shuo wan le 	說完了	c=1 d=1 t=654
shuo xia qu 	說下去	c=1 d=1 t=138
si 	死	c=1 d=1 t=632
si de 	似的	c=0 d=0.1 t=23
si fu 	私服	c=0 d=0.1 t=13
sou gou 	搜狗	c=1 d=1 t=946
su du 	速度	c=1 d=1.01851 t=20
su du jing an si ni 	速度靜安寺你	c=1 d=1 t=21
sui ran 	雖然	c=2 d=1.99501 t=529
sun 	孫	c=0 d=0.1 t=744
sun tian yuan 	孫天元	c=1 d=1 t=745
suo yi 	所以	c=1 d=1 t=196
suo you 	所有	c=1 d=1 t=478
ta 	他	c=1 d=1 t=70
ta 	它	c=1 d=1 t=225
ta men 	他們	c=2 d=1.97045 t=859
tai 	太	c=6 d=1.53186 t=812
tai gui 	太貴	c=0 d=0.1 t=429
tai gui le 	太貴了	c=1 d=1 t=430
tai yuan 	太遠	c=0 d=0.1 t=427
tai yuan le 	太遠了	c=1 d=1 t=428
ti qian 	提前	c=1 d=1 t=446
tian 	天	c=1 d=1 t=628
tian liang 	天亮	c=1 d=1 t=885
tian qi 	填隙	c=2 d=1.96561 t=958
tian qi 	天氣	c=6 d=5.82689 t=991
tian yuan 	天元	c=0 d=0.1 t=744
tu 	塗	c=1 d=1 t=911
wan an 	晚安	c=1 d=1 t=922
wei ni 	爲你	c=2 d=1.95123 t=503
wei shen me 	爲什麼	c=1 d=1 t=205
